pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 12 2014,Brasil-A,croatia-A,3,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 13 2014,mexico-A,cameroon-A,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 13 2014,netherlands-B,spain-B,5,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 13 2014,Chile-B,australia-B,3,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 14 2014,Colombia-C,greece-C,3,0
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 14 2014,ivory_coast-C,japan-C,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 14 2014,costa_rica-D,Uruguay-D,3,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 14 2014,italy-D,england-D,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 15 2014,switzerland-E,ecuador-E,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 15 2014,france-E,honduras-E,3,0
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 15 2014,Argentina-F,bosnia_herzegovina-F,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 16 2014,iran-F,nigeria-F,0,0
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 16 2014,germany-G,portugal-G,4,0
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 16 2014,usa-G,ghana-G,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 17 2014,belgium-H,algeria-H,2,0
worldcup2014,Torneo WorldCup 2014,Fecha 1,Jun 17 2014,russia-H,south_korea-H,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 17 2014,Brasil-A,mexico-A,0,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 18 2014,croatia-A,cameroon-A,4,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 18 2014,netherlands-B,australia-B,3,2
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 18 2014,Chile-B,spain-B,2,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 19 2014,Colombia-C,ivory_coast-C,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 19 2014,greece-C,japan-C,0,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 19 2014,Uruguay-D,england-D,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 20 2014,costa_rica-D,italy-D,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 20 2014,france-E,switzerland-E,5,2
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 20 2014,ecuador-E,honduras-E,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 21 2014,Argentina-F,iran-F,1,0
