fecha,dia,local,visitante,goles_local,goles_visitante
Fecha 1,Apr 15 2023,Palmeiras,Cuiabá,2,1
Fecha 1,Apr 15 2023,América,Fluminense,0,3
Fecha 1,Apr 15 2023,Athletico/PR,Goiás,2,0
Fecha 1,Apr 15 2023,Botafogo,São,2,1
Fecha 1,Apr 15 2023,RB,Bahia,2,1
Fecha 1,Apr 15 2023,Fortaleza,Internacional,1,1
Fecha 1,Apr 15 2023,Atlético/MG,Vasco,1,2
Fecha 1,Apr 16 2023,Corinthians,Cruzeiro,2,1
Fecha 1,Apr 16 2023,Flamengo,Coritiba,3,0
Fecha 1,Apr 16 2023,Grêmio,Santos,1,0
Fecha 2,Apr 22 2023,Fluminense,Athletico/PR,2,0
Fecha 2,Apr 22 2023,Cuiabá,RB,1,1
Fecha 2,Apr 22 2023,São,América,3,0
Fecha 2,Apr 22 2023,Cruzeiro,Grêmio,1,0
Fecha 2,Apr 23 2023,Internacional,Flamengo,2,1
Fecha 2,Apr 23 2023,Vasco,Palmeiras,2,2
Fecha 2,Apr 23 2023,Santos,Atlético/MG,0,0
Fecha 2,Apr 23 2023,Coritiba,Fortaleza,0,3
Fecha 2,Apr 23 2023,Goiás,Corinthians,3,1
Fecha 2,Apr 24 2023,Bahia,Botafogo,1,2
Fecha 3,Apr 29 2023,Fortaleza,Fluminense,4,2
Fecha 3,Apr 29 2023,Coritiba,São,1,1
Fecha 3,Apr 29 2023,Palmeiras,Corinthians,2,1
Fecha 3,Apr 29 2023,RB,Cruzeiro,0,3
Fecha 3,Apr 29 2023,Santos,América,3,2
Fecha 3,Apr 29 2023,Atlético/MG,Athletico/PR,2,1
Fecha 3,Apr 30 2023,Flamengo,Botafogo,2,3
Fecha 3,Apr 30 2023,Internacional,Goiás,1,0
Fecha 3,Apr 30 2023,Cuiabá,Grêmio,1,2
Fecha 3,May 1 2023,Vasco,Bahia,0,1
Fecha 4,May 6 2023,Cruzeiro,Santos,2,1
Fecha 4,May 6 2023,Fluminense,Vasco,1,1
Fecha 4,May 7 2023,América,Cuiabá,1,2
Fecha 4,May 7 2023,Bahia,Coritiba,3,1
Fecha 4,May 7 2023,Athletico/PR,Flamengo,2,1
Fecha 4,May 7 2023,São,Internacional,2,0
Fecha 4,May 7 2023,Grêmio,RB,3,3
Fecha 4,May 7 2023,Botafogo,Atlético/MG,2,0
Fecha 4,May 7 2023,Goiás,Palmeiras,0,5
Fecha 4,May 8 2023,Corinthians,Fortaleza,1,1
Fecha 5,May 10 2023,Santos,Bahia,3,0
Fecha 5,May 10 2023,RB,América,2,2
Fecha 5,May 10 2023,Internacional,Athletico/PR,0,2
Fecha 5,May 10 2023,Cuiabá,Atlético/MG,0,4
Fecha 5,May 10 2023,Flamengo,Goiás,2,0
Fecha 5,May 10 2023,Palmeiras,Grêmio,4,1
Fecha 5,May 10 2023,Cruzeiro,Fluminense,0,2
Fecha 5,May 11 2023,Botafogo,Corinthians,3,0
Fecha 5,May 11 2023,Coritiba,Vasco,1,1
Fecha 5,May 11 2023,Fortaleza,São,0,0
Fecha 6,May 13 2023,Bahia,Flamengo,2,3
Fecha 6,May 13 2023,Palmeiras,RB,1,1
Fecha 6,May 13 2023,Fluminense,Cuiabá,2,0
Fecha 6,May 13 2023,Atlético/MG,Internacional,2,0
Fecha 6,May 14 2023,Vasco,Santos,0,1
Fecha 6,May 14 2023,Corinthians,São,1,1
Fecha 6,May 14 2023,Grêmio,Fortaleza,0,0
Fecha 6,May 14 2023,Athletico/PR,Coritiba,3,2
Fecha 6,May 14 2023,Goiás,Botafogo,2,1
Fecha 6,May 14 2023,América,Cruzeiro,0,4
Fecha 7,May 20 2023,Bahia,Goiás,1,1
Fecha 7,May 20 2023,América,Fortaleza,2,1
Fecha 7,May 20 2023,RB,Athletico/PR,2,0
Fecha 7,May 20 2023,Coritiba,Atlético/MG,1,2
Fecha 7,May 20 2023,São,Vasco,4,2
Fecha 7,May 20 2023,Botafogo,Fluminense,1,0
Fecha 7,May 20 2023,Santos,Palmeiras,0,0
Fecha 7,May 21 2023,Flamengo,Corinthians,1,0
Fecha 7,May 21 2023,Grêmio,Internacional,3,1
Fecha 7,May 22 2023,Cruzeiro,Cuiabá,0,1
Fecha 8,May 27 2023,Fortaleza,Vasco,2,0
Fecha 8,May 27 2023,Athletico/PR,Grêmio,1,2
Fecha 8,May 27 2023,Cuiabá,Coritiba,1,1
Fecha 8,May 27 2023,Flamengo,Cruzeiro,1,1
Fecha 8,May 27 2023,São,Goiás,2,1
Fecha 8,May 28 2023,Internacional,Bahia,2,0
Fecha 8,May 28 2023,Corinthians,Fluminense,2,0
Fecha 8,May 28 2023,Atlético/MG,Palmeiras,1,1
Fecha 8,May 28 2023,RB,Santos,2,0
Fecha 8,May 28 2023,Botafogo,América,2,0
Fecha 9,Jun 3 2023,Fortaleza,Bahia,0,0
Fecha 9,Jun 3 2023,América,Corinthians,2,0
Fecha 9,Jun 3 2023,Athletico/PR,Botafogo,1,0
Fecha 9,Jun 3 2023,Cruzeiro,Atlético/MG,0,1
Fecha 9,Jun 3 2023,Santos,Internacional,1,1
Fecha 9,Jun 4 2023,Fluminense,RB,2,1
Fecha 9,Jun 4 2023,Grêmio,São,2,1
Fecha 9,Jun 4 2023,Palmeiras,Coritiba,3,1
Fecha 9,Jun 4 2023,Goiás,Cuiabá,0,1
Fecha 9,Jun 5 2023,Vasco,Flamengo,1,4
Fecha 10,Jun 10 2023,Coritiba,Santos,0,0
Fecha 10,Jun 10 2023,Atlético/MG,RB,1,1
Fecha 10,Jun 10 2023,Bahia,Cruzeiro,2,2
Fecha 10,Jun 10 2023,Corinthians,Cuiabá,1,1
Fecha 10,Jun 10 2023,Botafogo,Fortaleza,2,0
Fecha 10,Jun 11 2023,América,Athletico/PR,2,2
Fecha 10,Jun 11 2023,São,Palmeiras,0,2
Fecha 10,Jun 11 2023,Internacional,Vasco,2,1
Fecha 10,Jun 11 2023,Goiás,Fluminense,2,2
Fecha 10,Jun 11 2023,Flamengo,Grêmio,3,0
Fecha 11,Jun 21 2023,São,Athletico/PR,2,1
Fecha 11,Jun 21 2023,Cruzeiro,Fortaleza,0,1
Fecha 11,Jun 21 2023,Santos,Corinthians,0,2
Fecha 11,Jun 21 2023,Fluminense,Atlético/MG,1,1
Fecha 11,Jun 21 2023,Bahia,Palmeiras,1,0
Fecha 11,Jun 22 2023,Grêmio,América,3,1
Fecha 11,Jun 22 2023,Cuiabá,Botafogo,0,1
Fecha 11,Jun 22 2023,Coritiba,Internacional,0,1
Fecha 11,Jun 22 2023,Vasco,Goiás,0,1
Fecha 11,Jun 22 2023,RB,Flamengo,4,0
Fecha 12,Jun 24 2023,Athletico/PR,Corinthians,1,0
Fecha 12,Jun 24 2023,Fluminense,Bahia,2,1
Fecha 12,Jun 24 2023,Fortaleza,Atlético/MG,2,1
Fecha 12,Jun 24 2023,Cruzeiro,São,1,0
Fecha 12,Jun 25 2023,Grêmio,Coritiba,5,1
Fecha 12,Jun 25 2023,Palmeiras,Botafogo,0,1
Fecha 12,Jun 25 2023,América,Internacional,1,2
Fecha 12,Jun 25 2023,RB,Goiás,2,0
Fecha 12,Jun 25 2023,Santos,Flamengo,2,3
Fecha 12,Jun 26 2023,Vasco,Cuiabá,1,0
Fecha 13,Jul 1 2023,São,Fluminense,1,0
Fecha 13,Jul 1 2023,Flamengo,Fortaleza,2,0
Fecha 13,Jul 1 2023,Bahia,Grêmio,1,2
Fecha 13,Jul 1 2023,Internacional,Cruzeiro,0,0
Fecha 13,Jul 2 2023,Corinthians,RB,0,1
Fecha 13,Jul 2 2023,Athletico/PR,Palmeiras,2,2
Fecha 13,Jul 2 2023,Botafogo,Vasco,2,0
Fecha 13,Jul 2 2023,Atlético/MG,América,2,2
Fecha 13,Jul 2 2023,Cuiabá,Santos,3,0
Fecha 13,Jul 3 2023,Goiás,Coritiba,1,2
Fecha 14,Jul 8 2023,Vasco,Cruzeiro,0,1
Fecha 14,Jul 8 2023,Cuiabá,Bahia,1,1
Fecha 14,Jul 8 2023,Coritiba,América,3,1
Fecha 14,Jul 8 2023,Atlético/MG,Corinthians,0,1
Fecha 14,Jul 8 2023,Palmeiras,Flamengo,1,1
Fecha 14,Jul 9 2023,Santos,Goiás,4,3
Fecha 14,Jul 9 2023,Fluminense,Internacional,2,0
Fecha 14,Jul 9 2023,RB,São,0,0
