torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Torneo Mundial 2014,Fecha 1,Jun 12 2014,Brasil-A,Croacia-A,3,1
Torneo Mundial 2014,Fecha 1,Jun 13 2014,México-A,cameroon-A,1,0
Torneo Mundial 2014,Fecha 1,Jun 13 2014,Países Bajos-B,spain-B,5,1
Torneo Mundial 2014,Fecha 1,Jun 13 2014,Chile-B,australia-B,3,1
Torneo Mundial 2014,Fecha 1,Jun 14 2014,Colombia-C,greece-C,3,0
Torneo Mundial 2014,Fecha 1,Jun 14 2014,ivory_coast-C,japan-C,2,1
Torneo Mundial 2014,Fecha 1,Jun 14 2014,costa_rica-D,Uruguay-D,3,1
Torneo Mundial 2014,Fecha 1,Jun 14 2014,italy-D,england-D,2,1
Torneo Mundial 2014,Fecha 1,Jun 15 2014,switzerland-E,ecuador-E,2,1
Torneo Mundial 2014,Fecha 1,Jun 15 2014,Francia-E,honduras-E,3,0
Torneo Mundial 2014,Fecha 1,Jun 15 2014,Argentina-F,bosnia_herzegovina-F,2,1
Torneo Mundial 2014,Fecha 1,Jun 16 2014,iran-F,nigeria-F,0,0
Torneo Mundial 2014,Fecha 1,Jun 16 2014,Alemania-G,portugal-G,4,0
Torneo Mundial 2014,Fecha 1,Jun 16 2014,Estados Unidos-G,ghana-G,2,1
Torneo Mundial 2014,Fecha 1,Jun 17 2014,Bélgica-H,algeria-H,2,0
Torneo Mundial 2014,Fecha 1,Jun 17 2014,russia-H,south_korea-H,1,0
Torneo Mundial 2014,Fecha 2,Jun 17 2014,Brasil-A,México-A,0,0
Torneo Mundial 2014,Fecha 2,Jun 18 2014,Croacia-A,cameroon-A,4,0
Torneo Mundial 2014,Fecha 2,Jun 18 2014,Países Bajos-B,australia-B,3,2
Torneo Mundial 2014,Fecha 2,Jun 18 2014,Chile-B,spain-B,2,0
Torneo Mundial 2014,Fecha 2,Jun 19 2014,Colombia-C,ivory_coast-C,2,1
Torneo Mundial 2014,Fecha 2,Jun 19 2014,greece-C,japan-C,0,0
Torneo Mundial 2014,Fecha 2,Jun 19 2014,Uruguay-D,england-D,2,1
Torneo Mundial 2014,Fecha 2,Jun 20 2014,costa_rica-D,italy-D,1,0
Torneo Mundial 2014,Fecha 2,Jun 20 2014,Francia-E,switzerland-E,5,2
Torneo Mundial 2014,Fecha 2,Jun 20 2014,ecuador-E,honduras-E,2,1
Torneo Mundial 2014,Fecha 2,Jun 21 2014,Argentina-F,iran-F,1,0
Torneo Mundial 2014,Fecha 2,Jun 21 2014,nigeria-F,bosnia_herzegovina-F,1,0
Torneo Mundial 2014,Fecha 2,Jun 21 2014,Alemania-G,ghana-G,2,2
Torneo Mundial 2014,Fecha 2,Jun 22 2014,portugal-G,Estados Unidos-G,2,2
Torneo Mundial 2014,Fecha 2,Jun 22 2014,Bélgica-H,russia-H,1,0
Torneo Mundial 2014,Fecha 2,Jun 22 2014,algeria-H,south_korea-H,4,2
Torneo Mundial 2014,Fecha 3,Jun 23 2014,Brasil-A,cameroon-A,4,1
Torneo Mundial 2014,Fecha 3,Jun 23 2014,México-A,Croacia-A,3,1
Torneo Mundial 2014,Fecha 3,Jun 23 2014,spain-B,australia-B,3,0
Torneo Mundial 2014,Fecha 3,Jun 23 2014,Países Bajos-B,Chile-B,2,0
Torneo Mundial 2014,Fecha 3,Jun 24 2014,Colombia-C,japan-C,4,1
Torneo Mundial 2014,Fecha 3,Jun 24 2014,greece-C,ivory_coast-C,2,1
Torneo Mundial 2014,Fecha 3,Jun 24 2014,Uruguay-D,italy-D,1,0
