torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Mundial 2026,Fecha 1,Jun 11 2026,México-A,Sudáfrica-A,1,0
Mundial 2026,Fecha 1,Jun 11 2026,Corea del Sur-A,República Checa-A,1,0
Mundial 2026,Fecha 1,Jun 12 2026,Canadá-B,Bosnia y Herzegovina-B,1,0
Mundial 2026,Fecha 1,Jun 12 2026,Estados Unidos-D,Paraguay-D,1,0
Mundial 2026,Fecha 1,Jun 13 2026,Qatar-B,Suiza-B,1,0
Mundial 2026,Fecha 1,Jun 13 2026,Brasil-C,Marruecos-C,1,0
Mundial 2026,Fecha 1,Jun 13 2026,Haití-C,Escocia-C,1,0
Mundial 2026,Fecha 1,Jun 13 2026,Australia-D,Turquía-D,1,0
Mundial 2026,Fecha 1,Jun 14 2026,Alemania-E,Curazao-E,1,0
Mundial 2026,Fecha 1,Jun 14 2026,Países Bajos-F,Japón-F,1,0
Mundial 2026,Fecha 1,Jun 14 2026,Costa de Marfil-E,Ecuador-E,1,0
Mundial 2026,Fecha 1,Jun 14 2026,Suecia-F,Túnez-F,1,0
Mundial 2026,Fecha 1,Jun 15 2026,España-H,Cabo Verde-H,1,0
Mundial 2026,Fecha 1,Jun 15 2026,Bélgica-G,Egipto-G,1,0
Mundial 2026,Fecha 1,Jun 15 2026,Arabia Saudita-H,Uruguay-H,1,0
Mundial 2026,Fecha 1,Jun 15 2026,Irán-G,Nueva Zelanda-G,1,0
Mundial 2026,Fecha 1,Jun 16 2026,Francia-I,Senegal-I,1,0
Mundial 2026,Fecha 1,Jun 16 2026,Irak-I,Noruega-I,1,1
Mundial 2026,Fecha 1,Jun 16 2026,Argentina-J,Argelia-J,1,0
Mundial 2026,Fecha 1,Jun 16 2026,Austria-J,Jordania-J,1,0
Mundial 2026,Fecha 1,Jun 17 2026,Portugal-K,RD de Congo-K,1,0
Mundial 2026,Fecha 1,Jun 17 2026,Inglaterra-L,Croacia-L,1,0
Mundial 2026,Fecha 1,Jun 17 2026,Ghana-L,Panamá-L,1,0
Mundial 2026,Fecha 1,Jun 17 2026,Uzbekistán-K,Colombia-K,1,0
Mundial 2026,Fecha 2,Jun 18 2026,República Checa-A,Sudáfrica-A,1,0
Mundial 2026,Fecha 2,Jun 18 2026,Suiza-B,Bosnia y Herzegovina-B,1,0
Mundial 2026,Fecha 2,Jun 18 2026,Canadá-B,Qatar-B,1,0
Mundial 2026,Fecha 2,Jun 18 2026,México-A,Corea del Sur-A,1,0
Mundial 2026,Fecha 2,Jun 19 2026,Estados Unidos-D,Australia-D,1,0
Mundial 2026,Fecha 2,Jun 19 2026,Escocia-C,Marruecos-C,1,0
Mundial 2026,Fecha 2,Jun 19 2026,Brasil-C,Haití-C,1,0
Mundial 2026,Fecha 2,Jun 19 2026,Turquía-D,Paraguay-D,1,0
Mundial 2026,Fecha 2,Jun 20 2026,Países Bajos-F,Suecia-F,1,0
Mundial 2026,Fecha 2,Jun 20 2026,Alemania-E,Costa de Marfil-E,1,0
Mundial 2026,Fecha 2,Jun 20 2026,Ecuador-E,Curazao-E,1,0
Mundial 2026,Fecha 2,Jun 20 2026,Túnez-F,Japón-F,1,0
Mundial 2026,Fecha 2,Jun 21 2026,España-H,Arabia Saudita-H,1,0
Mundial 2026,Fecha 2,Jun 21 2026,Bélgica-G,Irán-G,1,0
Mundial 2026,Fecha 2,Jun 21 2026,Uruguay-H,Cabo Verde-H,1,0
Mundial 2026,Fecha 2,Jun 21 2026,Nueva Zelanda-G,Egipto-G,1,0
Mundial 2026,Fecha 2,Jun 22 2026,Argentina-J,Austria-J,1,0
Mundial 2026,Fecha 2,Jun 22 2026,Francia-I,Irak-I,1,0
Mundial 2026,Fecha 2,Jun 22 2026,Noruega-I,Senegal-I,1,0
Mundial 2026,Fecha 2,Jun 22 2026,Jordania-J,Argelia-J,1,0
Mundial 2026,Fecha 2,Jun 23 2026,Portugal-K,Uzbekistán-K,1,0
Mundial 2026,Fecha 2,Jun 23 2026,Inglaterra-L,Ghana-L,1,0
Mundial 2026,Fecha 2,Jun 23 2026,Panamá-L,Croacia-L,1,1
Mundial 2026,Fecha 2,Jun 23 2026,Colombia-K,RD de Congo-K,1,0
Mundial 2026,Fecha 3,Jun 24 2026,Suiza-B,Canadá-B,1,0
Mundial 2026,Fecha 3,Jun 24 2026,Bosnia y Herzegovina-B,Qatar-B,1,0
Mundial 2026,Fecha 3,Jun 24 2026,Marruecos-C,Haití-C,1,0
Mundial 2026,Fecha 3,Jun 24 2026,Brasil-C,Escocia-C,1,0
Mundial 2026,Fecha 3,Jun 24 2026,Sudáfrica-A,Corea del Sur-A,1,0
Mundial 2026,Fecha 3,Jun 24 2026,República Checa-A,México-A,1,0
Mundial 2026,Fecha 3,Jun 25 2026,Curazao-E,Costa de Marfil-E,1,0
Mundial 2026,Fecha 3,Jun 25 2026,Ecuador-E,Alemania-E,1,0
Mundial 2026,Fecha 3,Jun 25 2026,Japón-F,Suecia-F,1,0
Mundial 2026,Fecha 3,Jun 25 2026,Túnez-F,Países Bajos-F,1,0
