torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Copa Sudamericana 2026,Fecha 1,Apr 07 2026,BarracasCentral-G,VascoDaGama-G,0,0
Copa Sudamericana 2026,Fecha 1,Apr 07 2026,IndepPetrolero-E,Racing-E,1,3
Copa Sudamericana 2026,Fecha 1,Apr 07 2026,OHiggins-C,Millonarios-C,2,0
Copa Sudamericana 2026,Fecha 1,Apr 07 2026,BostonRiver-C,SaoPaulo-C,0,1
Copa Sudamericana 2026,Fecha 1,Apr 07 2026,AlianzaAtletico-A,Tigre-A,1,1
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,DepCuenca-D,Santos-D,1,0
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,DepRecoleta-D,SanLorenzo-D,1,1
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,DepRiestra-F,Palestino-F,0,0
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,AudaxItaliano-G,Olimpia-G,0,2
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,MontevideoCityTorque-F,Gremio-F,1,0
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,Blooming-H,River-H,1,1
Copa Sudamericana 2026,Fecha 1,Apr 08 2026,AcademiaPuertoCabello-B,AtleticoMineiro-B,2,1
Copa Sudamericana 2026,Fecha 1,Apr 09 2026,Botafogo-E,Caracas-E,1,1
Copa Sudamericana 2026,Fecha 1,Apr 09 2026,Juventud-B,Cienciano-B,1,1
Copa Sudamericana 2026,Fecha 1,Apr 09 2026,Carabobo-H,Bragantino-H,1,0
Copa Sudamericana 2026,Fecha 1,Apr 09 2026,Macara-A,AmericaDeCali-A,1,1
Copa Sudamericana 2026,Fecha 2,Apr 14 2026,Gremio-F,DepRiestra-F,1,0
Copa Sudamericana 2026,Fecha 2,Apr 14 2026,SaoPaulo-C,OHiggins-C,2,0
Copa Sudamericana 2026,Fecha 2,Apr 14 2026,VascoDaGama-G,AudaxItaliano-G,1,2
Copa Sudamericana 2026,Fecha 2,Apr 14 2026,Palestino-F,MontevideoCityTorque-F,0,2
Copa Sudamericana 2026,Fecha 2,Apr 14 2026,Santos-D,DepRecoleta-D,1,1
Copa Sudamericana 2026,Fecha 2,Apr 15 2026,Caracas-E,IndepPetrolero-E,1,0
