pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 1,Sep 07 2023,Paraguay,Peru,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 1,Sep 07 2023,Colombia,Venezuela,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 1,Sep 07 2023,Argentina,Ecuador,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 1,Sep 07 2023,Uruguay,Chile,3,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 1,Sep 07 2023,Brasil,Bolivia,5,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 2,Sep 12 2023,Bolivia,Argentina,0,3
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 2,Sep 12 2023,Ecuador,Uruguay,2,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 2,Sep 12 2023,Venezuela,Paraguay,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 2,Sep 12 2023,Chile,Colombia,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 2,Sep 12 2023,Peru,Brasil,0,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 3,Oct 12 2023,Colombia,Uruguay,2,2
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 3,Oct 12 2023,Bolivia,Ecuador,1,2
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 3,Oct 12 2023,Argentina,Paraguay,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 3,Oct 12 2023,Chile,Peru,2,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 3,Oct 12 2023,Brasil,Venezuela,1,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 4,Oct 17 2023,Venezuela,Chile,3,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 4,Oct 17 2023,Paraguay,Bolivia,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 4,Oct 17 2023,Ecuador,Colombia,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 4,Oct 17 2023,Uruguay,Brasil,2,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 4,Oct 17 2023,Peru,Argentina,0,2
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 5,Nov 16 2023,Bolivia,Peru,2,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 5,Nov 16 2023,Venezuela,Ecuador,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 5,Nov 16 2023,Colombia,Brasil,2,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 5,Nov 16 2023,Argentina,Uruguay,0,2
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 5,Nov 16 2023,Chile,Paraguay,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 6,Nov 21 2023,Paraguay,Colombia,0,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 6,Nov 21 2023,Uruguay,Bolivia,3,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 6,Nov 21 2023,Ecuador,Chile,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 6,Nov 21 2023,Brasil,Argentina,0,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 6,Nov 21 2023,Peru,Venezuela,1,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 7,Sep 05 2024,Bolivia,Venezuela,4,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 7,Sep 05 2024,Argentina,Chile,3,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 7,Sep 05 2024,Uruguay,Paraguay,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 7,Sep 05 2024,Brasil,Ecuador,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 7,Sep 05 2024,Peru,Colombia,1,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 8,Sep 10 2024,Colombia,Argentina,2,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 8,Sep 10 2024,Chile,Bolivia,1,2
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 8,Sep 10 2024,Ecuador,Peru,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 8,Sep 10 2024,Venezuela,Uruguay,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 8,Sep 10 2024,Paraguay,Brasil,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 9,Oct 10 2024,Bolivia,Colombia,1,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 9,Oct 10 2024,Venezuela,Argentina,1,1
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 9,Oct 10 2024,Ecuador,Paraguay,0,0
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 9,Oct 10 2024,Chile,Brasil,1,2
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 9,Oct 10 2024,Peru,Uruguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 10,Oct 15 2024,Colombia,Chile,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 10,Oct 15 2024,Paraguay,Venezuela,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 10,Oct 15 2024,Uruguay,Ecuador,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 10,Oct 15 2024,Argentina,Bolivia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 10,Oct 15 2024,Brasil,Peru,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 11,Nov 13 2024,Uruguay,Colombia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 11,Nov 13 2024,Peru,Chile,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 11,Nov 13 2024,Venezuela,Brasil,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 11,Nov 13 2024,Ecuador,Bolivia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 11,Nov 13 2024,Paraguay,Argentina,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 12,Nov 18 2024,Colombia,Ecuador,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 12,Nov 18 2024,Brasil,Uruguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 12,Nov 18 2024,Bolivia,Paraguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 12,Nov 18 2024,Argentina,Peru,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 12,Nov 18 2024,Chile,Venezuela,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 13,Mar 19 2025,Uruguay,Argentina,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 13,Mar 19 2025,Peru,Bolivia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 13,Mar 19 2025,Brasil,Colombia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 13,Mar 19 2025,Paraguay,Chile,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 13,Mar 19 2025,Ecuador,Venezuela,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 14,Mar 24 2025,Colombia,Paraguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 14,Mar 24 2025,Venezuela,Peru,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 14,Mar 24 2025,Bolivia,Uruguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 14,Mar 24 2025,Argentina,Brasil,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 14,Mar 24 2025,Chile,Ecuador,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 15,Jun 03 2025,Colombia,Peru,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 15,Jun 03 2025,Venezuela,Bolivia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 15,Jun 03 2025,Paraguay,Uruguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 15,Jun 03 2025,Chile,Argentina,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 15,Jun 03 2025,Ecuador,Brasil,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 16,Jun 08 2025,Uruguay,Venezuela,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 16,Jun 08 2025,Peru,Ecuador,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 16,Jun 08 2025,Brasil,Paraguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 16,Jun 08 2025,Bolivia,Chile,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 16,Jun 08 2025,Argentina,Colombia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 17,Sep 08 2025,Uruguay,Peru,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 17,Sep 08 2025,Colombia,Bolivia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 17,Sep 08 2025,Brasil,Chile,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 17,Sep 08 2025,Paraguay,Ecuador,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 17,Sep 08 2025,Argentina,Venezuela,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 18,Sep 13 2025,Peru,Paraguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 18,Sep 13 2025,Venezuela,Colombia,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 18,Sep 13 2025,Bolivia,Brasil,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 18,Sep 13 2025,Chile,Uruguay,99,99
Conmebol,ELIMINATORIAS CONMEBOL MUNDIAL 2026,Fecha 18,Sep 13 2025,Ecuador,Argentina,99,99
