torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Torneo Sudamericana 2026,Fecha 1,Apr 07 2026,Barracas Central-G,Vasco Da Gama-G,0,0
Torneo Sudamericana 2026,Fecha 1,Apr 07 2026,Independiente Petrolero-E,Racing-E,1,3
Torneo Sudamericana 2026,Fecha 1,Apr 07 2026,OHiggins-C,Millonarios-C,2,0
Torneo Sudamericana 2026,Fecha 1,Apr 07 2026,Boston River-C,Sao Paulo-C,0,1
Torneo Sudamericana 2026,Fecha 1,Apr 07 2026,Alianza Atletico-A,Tigre-A,1,1
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Deportivo Cuenca-D,Santos-D,1,0
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Deportivo Recoleta-D,San Lorenzo-D,1,1
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Riestra-F,Palestino-F,0,0
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Audax Italiano-G,Olimpia-G,0,2
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Montevideo City Torque-F,Gremio-F,1,0
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Blooming-H,River Plate-H,1,1
Torneo Sudamericana 2026,Fecha 1,Apr 08 2026,Academia Puerto Cabello-B,Atletico Mineiro-B,2,1
Torneo Sudamericana 2026,Fecha 1,Apr 09 2026,Botafogo-E,Caracas-E,1,1
Torneo Sudamericana 2026,Fecha 1,Apr 09 2026,Juventud-B,Cienciano-B,1,1
Torneo Sudamericana 2026,Fecha 1,Apr 09 2026,Carabobo-H,Bragantino-H,1,0
Torneo Sudamericana 2026,Fecha 1,Apr 09 2026,Macara-A,America De Cali-A,1,1
Torneo Sudamericana 2026,Fecha 2,Apr 14 2026,Gremio-F,Riestra-F,1,0
Torneo Sudamericana 2026,Fecha 2,Apr 14 2026,Sao Paulo-C,OHiggins-C,2,0
Torneo Sudamericana 2026,Fecha 2,Apr 14 2026,Vasco Da Gama-G,Audax Italiano-G,1,2
Torneo Sudamericana 2026,Fecha 2,Apr 14 2026,Palestino-F,Montevideo City Torque-F,0,2
Torneo Sudamericana 2026,Fecha 2,Apr 14 2026,Santos-D,Deportivo Recoleta-D,1,1
Torneo Sudamericana 2026,Fecha 2,Apr 15 2026,Caracas-E,Independiente Petrolero-E,1,0
Torneo Sudamericana 2026,Fecha 2,Apr 15 2026,Racing-E,Botafogo-E,2,3
Torneo Sudamericana 2026,Fecha 2,Apr 15 2026,Olimpia-G,Barracas Central-G,0,0
Torneo Sudamericana 2026,Fecha 2,Apr 15 2026,River Plate-H,Carabobo-H,1,0
Torneo Sudamericana 2026,Fecha 2,Apr 15 2026,America De Cali-A,Alianza Atletico-A,2,1
Torneo Sudamericana 2026,Fecha 2,Apr 15 2026,Millonarios-C,Boston River-C,1,0
Torneo Sudamericana 2026,Fecha 2,Apr 16 2026,Atletico Mineiro-B,Juventud-B,2,1
Torneo Sudamericana 2026,Fecha 2,Apr 16 2026,Tigre-A,Macara-A,0,1
Torneo Sudamericana 2026,Fecha 2,Apr 16 2026,Bragantino-H,Blooming-H,3,2
Torneo Sudamericana 2026,Fecha 2,Apr 16 2026,San Lorenzo-D,Deportivo Cuenca-D,2,0
Torneo Sudamericana 2026,Fecha 2,Apr 16 2026,Cienciano-B,Academia Puerto Cabello-B,2,0
Torneo Sudamericana 2026,Fecha 3,Apr 28 2026,Deportivo Recoleta-D,Deportivo Cuenca-D,0,0
Torneo Sudamericana 2026,Fecha 3,Apr 28 2026,San Lorenzo-D,Santos-D,1,1
Torneo Sudamericana 2026,Fecha 3,Apr 28 2026,Barracas Central-G,Audax Italiano-G,1,1
Torneo Sudamericana 2026,Fecha 3,Apr 28 2026,Millonarios-C,Sao Paulo-C,0,1
Torneo Sudamericana 2026,Fecha 3,Apr 28 2026,Botafogo-E,Independiente Petrolero-E,3,0
Torneo Sudamericana 2026,Fecha 3,Apr 28 2026,OHiggins-C,Boston River-C,2,0
Torneo Sudamericana 2026,Fecha 3,Apr 29 2026,Caracas-E,Racing-E,1,1
Torneo Sudamericana 2026,Fecha 3,Apr 29 2026,Riestra-F,Montevideo City Torque-F,2,1
Torneo Sudamericana 2026,Fecha 3,Apr 29 2026,Juventud-B,Academia Puerto Cabello-B,4,0
Torneo Sudamericana 2026,Fecha 3,Apr 29 2026,Cienciano-B,Atletico Mineiro-B,1,0
Torneo Sudamericana 2026,Fecha 3,Apr 29 2026,Palestino-F,Gremio-F,0,0
Torneo Sudamericana 2026,Fecha 3,Apr 30 2026,Carabobo-H,Blooming-H,2,0
Torneo Sudamericana 2026,Fecha 3,Apr 30 2026,Vasco Da Gama-G,Olimpia-G,3,0
Torneo Sudamericana 2026,Fecha 3,Apr 30 2026,Tigre-A,America De Cali-A,2,0
Torneo Sudamericana 2026,Fecha 3,Apr 30 2026,Bragantino-H,River Plate-H,0,1
Torneo Sudamericana 2026,Fecha 3,Apr 30 2026,Alianza Atletico-A,Macara-A,0,2
Torneo Sudamericana 2026,Fecha 4,May 05 2026,Riestra-F,Gremio-F,0,3
Torneo Sudamericana 2026,Fecha 4,May 05 2026,Independiente Petrolero-E,Caracas-E,2,3
Torneo Sudamericana 2026,Fecha 4,May 05 2026,Juventud-B,Atletico Mineiro-B,2,2
Torneo Sudamericana 2026,Fecha 4,May 05 2026,Academia Puerto Cabello-B,Cienciano-B,3,0
Torneo Sudamericana 2026,Fecha 4,May 05 2026,Deportivo Recoleta-D,Santos-D,1,1
Torneo Sudamericana 2026,Fecha 4,May 05 2026,Deportivo Cuenca-D,San Lorenzo-D,0,0
Torneo Sudamericana 2026,Fecha 4,May 06 2026,Audax Italiano-G,Vasco Da Gama-G,1,2
Torneo Sudamericana 2026,Fecha 4,May 06 2026,Montevideo City Torque-F,Palestino-F,1,0
Torneo Sudamericana 2026,Fecha 4,May 06 2026,Barracas Central-G,Olimpia-G,1,2
Torneo Sudamericana 2026,Fecha 4,May 06 2026,Macara-A,Tigre-A,2,2
Torneo Sudamericana 2026,Fecha 4,May 06 2026,Botafogo-E,Racing-E,2,1
Torneo Sudamericana 2026,Fecha 4,May 06 2026,Alianza Atletico-A,America De Cali-A,0,2
Torneo Sudamericana 2026,Fecha 4,May 07 2026,Boston River-C,Millonarios-C,2,4
Torneo Sudamericana 2026,Fecha 4,May 07 2026,OHiggins-C,Sao Paulo-C,0,0
Torneo Sudamericana 2026,Fecha 4,May 07 2026,Blooming-H,Bragantino-H,0,6
Torneo Sudamericana 2026,Fecha 4,May 07 2026,Carabobo-H,River Plate-H,1,2
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Audax Italiano-G,Barracas Central-G,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Montevideo City Torque-F,Riestra-F,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Sao Paulo-C,Millonarios-C,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,America De Cali-A,Tigre-A,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Deportivo Cuenca-D,Deportivo Recoleta-D,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,Boston River-C,OHiggins-C,99,99
